E6HA, 01, 7, 0, Oberfield, Asian American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253697
E6LA, 01, 1, 0, La Bonne, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 02, 2, 0, Brown, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 03, 2, 0, Mott, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 04, 3, 0, Oberfield, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 05, 4, 0, Grossman, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 06, 5, 0, Gerety, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 07, 6, 0, La Bonne, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 08, 7, 0, Gerety, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 09, 8, 0, Mott, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 10, 9, 0, Brown, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 11, 9, 0, Mott, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6LA, 12, 10, 0, Oberfield, Later American Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=400057
E6CN, 01, 7, 0, Weil, Creative Nonfiction Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253660
E6CN, 02, 8, 0, Weil, Creative Nonfiction Worskshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253660
E8CN, 01, 7, 0, Weil, Creative Nonfiction Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253660
E8CN, 02, 8, 0, Weil, Creative Nonfiction Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253660
E6PW, 01, 6, 0, Moore, Poetry Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253665
